filepath,sb_id,time_uploaded_to_sb
out_xml/01_spatial_sb.xml,5db8194be4b0b0c58b5a4c3c,2021-06-08 20:33 UTC
out_data/01_spatial.zip,5db8194be4b0b0c58b5a4c3c,2021-01-08 17:09 UTC
out_data/01_lake_metadata.csv,5db8194be4b0b0c58b5a4c3c,2021-07-12 21:21 UTC
